id	filename	md5	size	state
6d4ea837-fa87-45a1-beb6-3bec3d7e58b1	7796806090_R04C01_Grn.idat	c6aea68359ef95f67a99bbd118287442	8095304	live
aa47b4b5-b947-4968-b9c3-21bfc9328bd8	6005486005_R04C02_Grn.idat	362c25ae368ba5ffc6dadff0577c0545	8091485	live
b631937b-a2dc-46f1-b6b6-0a7bbdec49cf	6005486017_R04C02_Red.idat	f762e3fdc813df54f4e05886e38f8dd8	8091485	live
cb126179-a825-45a4-a9ed-5af84bf46d89	6042324006_R05C02_Red.idat	f66df39b259ae2d26a5dfea437fa1838	8095236	live
a51d77f0-1c93-4c00-b842-fe109a975ade	9993943005_R04C02_Grn.idat	d26c6b65f62a43230732f6f50d827c5b	8095251	live
7098209c-d841-4742-91d5-a84294bcbb9e	8784241071_R02C01_Red.idat	e523f1b0c9c3046a8ebdce3895303aa4	8095282	live
5792ea62-297b-4d37-b6e0-9201ada7807a	6042316141_R05C02_Red.idat	afe0bc4ed29e84005e79a32f402e8687	8091452	live
ccf1565d-473c-4d3e-9fe0-0006cce30eee	6005486025_R01C02_Red.idat	4c67c9f21b5b61cd844d62dfbad3a4f3	8091485	live
3a0abac0-0778-4903-8b64-7f9a72147fa2	9426020160_R03C01_Red.idat	85f5610774e6a180c920a7cb6c2395c3	8095296	live
3638d255-3fdb-45f4-bb93-7902ded2dc97	6057833159_R03C02_Red.idat	bf1cc805d466a42b552a7665af26a534	8095252	live
f6eb5f57-6acc-4b62-9700-8f093979f50a	6042324048_R02C01_Grn.idat	8e374795f1803e5d1bf0ea07fca29f18	8095289	live
a0c2e5bb-3803-453d-a5a2-834a07e1bb62	6005486019_R02C01_Red.idat	47790159fb54c8552ead1ea3feeb4da5	8091485	live
4e9adc32-7e10-4155-8ad8-f5f804a93103	6042316072_R02C01_Red.idat	34c994d0898852642777902f149f1899	8091452	live
9cff2bdf-98c7-44b7-9ec7-03b9ab11bbfa	6042324030_R04C02_Grn.idat	51f7d8476ac8b4587414b42a397d6e39	8095317	live
744c84c5-5161-46a3-b578-4ec5b025759e	6026818055_R03C02_Red.idat	6b70736739e7c814fbfd1ba50a75e3da	8091452	live
7a81e8f5-e7c2-40ae-8e0a-9e5db85f2d71	9305216012_R05C01_Grn.idat	9718c797a935a4be357528d39007e22a	8095281	live
e7afd9d8-fe50-4198-9d35-1b47b96c17a9	9305216146_R04C02_Red.idat	4fb8f68d8c34786b7293a3e2bbddc011	8095248	live
